,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
10,Group 1,task-43676,Resource30,T03 Adjust confirmation of receipt,2011-10-18 13:48:30.632000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
11,Group 4,task-43679,Resource30,T02 Check confirmation of receipt,2011-10-18 13:51:01.525000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
12,Group 1,task-43686,admin2,T03 Adjust confirmation of receipt,2011-10-18 13:56:57.603000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
13,EMPTY,task-43229,Resource03,Confirmation of receipt,2011-10-18 15:53:19.732000+02:00,complete,2011-10-06 01:06:40.020000+02:00,Resource11,2011-12-01 01:06:40.010000+01:00,General,Group 8,case-10024,2011-12-01 01:06:40+01:00,Internet,2011-11-17 07:53:06.189000+01:00
14,Group 4,task-43727,Resource03,T02 Check confirmation of receipt,2011-10-18 15:53:38.108000+02:00,complete,2011-10-06 01:06:40.020000+02:00,Resource11,2011-12-01 01:06:40.010000+01:00,General,Group 8,case-10024,2011-12-01 01:06:40+01:00,Internet,2011-11-17 07:53:06.189000+01:00
15,Group 3,task-43729,Resource03,T04 Determine confirmation of receipt,2011-10-18 15:53:53.778000+02:00,complete,2011-10-06 01:06:40.020000+02:00,Resource11,2011-12-01 01:06:40.010000+01:00,General,Group 8,case-10024,2011-12-01 01:06:40+01:00,Internet,2011-11-17 07:53:06.189000+01:00
16,Group 2,task-43730,Resource03,T05 Print and send confirmation of receipt,2011-10-18 15:54:06.717000+02:00,complete,2011-10-06 01:06:40.020000+02:00,Resource11,2011-12-01 01:06:40.010000+01:00,General,Group 8,case-10024,2011-12-01 01:06:40+01:00,Internet,2011-11-17 07:53:06.189000+01:00
17,Group 1,task-43728,Resource03,T06 Determine necessity of stop advice,2011-10-18 15:54:24.121000+02:00,complete,2011-10-06 01:06:40.020000+02:00,Resource11,2011-12-01 01:06:40.010000+01:00,General,Group 8,case-10024,2011-12-01 01:06:40+01:00,Internet,2011-11-17 07:53:06.189000+01:00
18,Group 1,task-43731,Resource03,T10 Determine necessity to stop indication,2011-10-18 15:57:18.847000+02:00,complete,2011-10-06 01:06:40.020000+02:00,Resource11,2011-12-01 01:06:40.010000+01:00,General,Group 8,case-10024,2011-12-01 01:06:40+01:00,Internet,2011-11-17 07:53:06.189000+01:00
19,EMPTY,task-43231,Resource03,Confirmation of receipt,2011-10-25 09:27:08.484000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10025,2011-12-05 01:06:40+01:00,Internet,2011-11-14 09:15:07.941000+01:00
20,Group 4,task-44375,Resource03,T02 Check confirmation of receipt,2011-10-25 09:27:27.316000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10025,2011-12-05 01:06:40+01:00,Internet,2011-11-14 09:15:07.941000+01:00
21,Group 3,task-44377,Resource03,T04 Determine confirmation of receipt,2011-10-25 09:27:46.307000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10025,2011-12-05 01:06:40+01:00,Internet,2011-11-14 09:15:07.941000+01:00
22,Group 2,task-44379,Resource03,T05 Print and send confirmation of receipt,2011-10-25 09:28:00.504000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10025,2011-12-05 01:06:40+01:00,Internet,2011-11-14 09:15:07.941000+01:00
23,Group 1,task-44376,Resource03,T06 Determine necessity of stop advice,2011-10-25 09:28:15.484000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10025,2011-12-05 01:06:40+01:00,Internet,2011-11-14 09:15:07.941000+01:00
24,Group 1,task-44380,Resource03,T10 Determine necessity to stop indication,2011-10-25 09:28:33.002000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10025,2011-12-05 01:06:40+01:00,Internet,2011-11-14 09:15:07.941000+01:00
25,EMPTY,task-43250,Resource03,Confirmation of receipt,2011-10-25 14:13:10.744000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
26,Group 4,task-44467,Resource03,T02 Check confirmation of receipt,2011-10-25 14:13:31.837000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
27,Group 3,task-44469,Resource03,T04 Determine confirmation of receipt,2011-10-25 14:13:49.542000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
28,Group 2,task-44470,Resource03,T05 Print and send confirmation of receipt,2011-10-25 14:14:24.249000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
29,Group 1,task-44468,Resource03,T06 Determine necessity of stop advice,2011-10-25 14:22:15.239000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
30,Group 1,task-44471,Resource03,T10 Determine necessity to stop indication,2011-10-25 14:23:06.272000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
31,Group 1,task-44472,Resource03,T16 Report reasons to hold request,2011-10-25 14:23:58.755000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
32,Group 4,task-44473,Resource03,T17 Check report Y to stop indication,2011-10-25 14:24:22.922000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
33,Group 3,task-44474,Resource03,T19 Determine report Y to stop indication,2011-10-25 14:24:55.079000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
34,Group 2,task-44475,Resource03,T20 Print report Y to stop indication,2011-10-25 14:25:10.989000+02:00,complete,2011-10-10 01:06:40.020000+02:00,Resource11,2011-12-05 01:06:40.010000+01:00,General,Group 8,case-10028,2011-12-05 01:06:40+01:00,Internet,2011-12-05 15:34:49.174000+01:00
35,EMPTY,task-43463,Resource06,Confirmation of receipt,2011-10-17 15:31:27.570000+02:00,complete,2011-10-17 14:23:48.241000+02:00,Resource06,2011-12-12 14:23:48.241000+01:00,General,Group 5,case-10059,2011-12-12 14:23:48.241000+01:00,Internet,2011-10-24 11:10:14.651000+02:00
36,Group 4,task-43499,Resource06,T02 Check confirmation of receipt,2011-10-17 15:31:51.615000+02:00,complete,2011-10-17 14:23:48.241000+02:00,Resource06,2011-12-12 14:23:48.241000+01:00,General,Group 5,case-10059,2011-12-12 14:23:48.241000+01:00,Internet,2011-10-24 11:10:14.651000+02:00
37,Group 3,task-43501,Resource06,T04 Determine confirmation of receipt,2011-10-17 15:32:34.591000+02:00,complete,2011-10-17 14:23:48.241000+02:00,Resource06,2011-12-12 14:23:48.241000+01:00,General,Group 5,case-10059,2011-12-12 14:23:48.241000+01:00,Internet,2011-10-24 11:10:14.651000+02:00
38,Group 2,task-43503,Resource06,T05 Print and send confirmation of receipt,2011-10-17 15:33:42.796000+02:00,complete,2011-10-17 14:23:48.241000+02:00,Resource06,2011-12-12 14:23:48.241000+01:00,General,Group 5,case-10059,2011-12-12 14:23:48.241000+01:00,Internet,2011-10-24 11:10:14.651000+02:00
39,Group 1,task-43500,Resource06,T06 Determine necessity of stop advice,2011-10-17 15:34:25.518000+02:00,complete,2011-10-17 14:23:48.241000+02:00,Resource06,2011-12-12 14:23:48.241000+01:00,General,Group 5,case-10059,2011-12-12 14:23:48.241000+01:00,Internet,2011-10-24 11:10:14.651000+02:00
40,Group 1,task-43504,Resource06,T10 Determine necessity to stop indication,2011-10-17 15:41:19.472000+02:00,complete,2011-10-17 14:23:48.241000+02:00,Resource06,2011-12-12 14:23:48.241000+01:00,General,Group 5,case-10059,2011-12-12 14:23:48.241000+01:00,Internet,2011-10-24 11:10:14.651000+02:00
41,EMPTY,task-43657,Resource03,Confirmation of receipt,2011-10-24 15:00:50.433000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource11,2012-12-06 01:06:40.010000+01:00,General,Group 8,case-10061,2011-12-06 01:06:40+01:00,Internet,2011-11-23 08:50:44.645000+01:00
42,Group 1,task-44274,Resource03,T06 Determine necessity of stop advice,2011-10-24 15:01:21.907000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource11,2012-12-06 01:06:40.010000+01:00,General,Group 8,case-10061,2011-12-06 01:06:40+01:00,Internet,2011-11-23 08:50:44.645000+01:00
43,Group 1,task-44275,Resource03,T10 Determine necessity to stop indication,2011-10-24 15:01:44.536000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource11,2012-12-06 01:06:40.010000+01:00,General,Group 8,case-10061,2011-12-06 01:06:40+01:00,Internet,2011-11-23 08:50:44.645000+01:00
44,Group 4,task-44273,Resource03,T02 Check confirmation of receipt,2011-10-24 15:01:59.826000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource11,2012-12-06 01:06:40.010000+01:00,General,Group 8,case-10061,2011-12-06 01:06:40+01:00,Internet,2011-11-23 08:50:44.645000+01:00
45,Group 3,task-44277,Resource03,T04 Determine confirmation of receipt,2011-10-24 15:02:16.227000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource11,2012-12-06 01:06:40.010000+01:00,General,Group 8,case-10061,2011-12-06 01:06:40+01:00,Internet,2011-11-23 08:50:44.645000+01:00
46,Group 2,task-44279,Resource03,T05 Print and send confirmation of receipt,2011-10-24 15:02:32.399000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource11,2012-12-06 01:06:40.010000+01:00,General,Group 8,case-10061,2011-12-06 01:06:40+01:00,Internet,2011-11-23 08:50:44.645000+01:00
47,Group 1,task-43664,admin2,Confirmation of receipt,2011-10-18 13:34:39.087000+02:00,complete,2011-10-17 14:51:06.416000+02:00,admin3,2012-01-03 13:51:06.416000+01:00,Customer contact,,case-10062,2012-01-03 13:51:06.416000+01:00,Internet,2011-10-18 13:34:37.957000+02:00
48,EMPTY,task-43698,Resource06,Confirmation of receipt,2011-10-28 10:31:29.136000+02:00,complete,2011-10-12 01:06:40.020000+02:00,Resource06,2011-12-23 01:06:40.010000+01:00,General,Group 5,case-10065,2012-01-11 01:06:40+01:00,Internet,2011-12-16 00:00:00.010000+01:00
49,Group 4,task-44947,Resource06,T02 Check confirmation of receipt,2011-10-28 10:31:49.811000+02:00,complete,2011-10-12 01:06:40.020000+02:00,Resource06,2011-12-23 01:06:40.010000+01:00,General,Group 5,case-10065,2012-01-11 01:06:40+01:00,Internet,2011-12-16 00:00:00.010000+01:00
50,Group 3,task-44949,Resource06,T04 Determine confirmation of receipt,2011-10-28 10:32:08.374000+02:00,complete,2011-10-12 01:06:40.020000+02:00,Resource06,2011-12-23 01:06:40.010000+01:00,General,Group 5,case-10065,2012-01-11 01:06:40+01:00,Internet,2011-12-16 00:00:00.010000+01:00
51,Group 2,task-44950,Resource06,T05 Print and send confirmation of receipt,2011-10-28 10:32:49.753000+02:00,complete,2011-10-12 01:06:40.020000+02:00,Resource06,2011-12-23 01:06:40.010000+01:00,General,Group 5,case-10065,2012-01-11 01:06:40+01:00,Internet,2011-12-16 00:00:00.010000+01:00
52,Group 1,task-44948,Resource06,T06 Determine necessity of stop advice,2011-10-28 10:45:06.394000+02:00,complete,2011-10-12 01:06:40.020000+02:00,Resource06,2011-12-23 01:06:40.010000+01:00,General,Group 5,case-10065,2012-01-11 01:06:40+01:00,Internet,2011-12-16 00:00:00.010000+01:00
53,Group 1,task-44955,Resource06,T10 Determine necessity to stop indication,2011-10-28 11:01:50.118000+02:00,complete,2011-10-12 01:06:40.020000+02:00,Resource06,2011-12-23 01:06:40.010000+01:00,General,Group 5,case-10065,2012-01-11 01:06:40+01:00,Internet,2011-12-16 00:00:00.010000+01:00
54,EMPTY,task-43721,Resource22,Confirmation of receipt,2011-11-22 13:46:36.256000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource22,2012-12-08 01:06:40.010000+01:00,General,Group 5,case-10066,2012-12-08 01:06:40+01:00,Internet,2011-11-30 08:48:31.281000+01:00
55,Group 4,task-47561,Resource22,T02 Check confirmation of receipt,2011-11-22 13:48:39.989000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource22,2012-12-08 01:06:40.010000+01:00,General,Group 5,case-10066,2012-12-08 01:06:40+01:00,Internet,2011-11-30 08:48:31.281000+01:00
56,Group 3,task-47565,Resource22,T04 Determine confirmation of receipt,2011-11-22 13:49:21.982000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource22,2012-12-08 01:06:40.010000+01:00,General,Group 5,case-10066,2012-12-08 01:06:40+01:00,Internet,2011-11-30 08:48:31.281000+01:00
57,Group 2,task-47570,Resource22,T05 Print and send confirmation of receipt,2011-11-22 13:52:51.629000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource22,2012-12-08 01:06:40.010000+01:00,General,Group 5,case-10066,2012-12-08 01:06:40+01:00,Internet,2011-11-30 08:48:31.281000+01:00
58,Group 1,task-47562,Resource22,T06 Determine necessity of stop advice,2011-11-22 13:57:59.101000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource22,2012-12-08 01:06:40.010000+01:00,General,Group 5,case-10066,2012-12-08 01:06:40+01:00,Internet,2011-11-30 08:48:31.281000+01:00
59,Group 1,task-47579,Resource22,T10 Determine necessity to stop indication,2011-11-22 13:59:50.916000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource22,2012-12-08 01:06:40.010000+01:00,General,Group 5,case-10066,2012-12-08 01:06:40+01:00,Internet,2011-11-30 08:48:31.281000+01:00
60,EMPTY,task-43787,Resource13,Confirmation of receipt,2011-11-09 20:39:03.392000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource13,2011-12-08 01:06:40.010000+01:00,General,Group 5,case-10067,2011-12-08 01:06:40+01:00,Internet,2011-11-16 10:31:30.572000+01:00
61,EMPTY,task-46129,Resource13,T02 Check confirmation of receipt,2011-11-09 20:39:34.137000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource13,2011-12-08 01:06:40.010000+01:00,General,Group 5,case-10067,2011-12-08 01:06:40+01:00,Internet,2011-11-16 10:31:30.572000+01:00
62,EMPTY,task-46131,Resource13,T04 Determine confirmation of receipt,2011-11-09 20:40:02.334000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource13,2011-12-08 01:06:40.010000+01:00,General,Group 5,case-10067,2011-12-08 01:06:40+01:00,Internet,2011-11-16 10:31:30.572000+01:00
63,EMPTY,task-46132,Resource13,T05 Print and send confirmation of receipt,2011-11-09 20:40:26.677000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource13,2011-12-08 01:06:40.010000+01:00,General,Group 5,case-10067,2011-12-08 01:06:40+01:00,Internet,2011-11-16 10:31:30.572000+01:00
64,Group 1,task-46130,Resource13,T06 Determine necessity of stop advice,2011-11-09 20:40:49.698000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource13,2011-12-08 01:06:40.010000+01:00,General,Group 5,case-10067,2011-12-08 01:06:40+01:00,Internet,2011-11-16 10:31:30.572000+01:00
65,Group 1,task-46133,Resource13,T10 Determine necessity to stop indication,2011-11-09 20:41:13.745000+01:00,complete,2011-10-13 01:06:40.020000+02:00,Resource13,2011-12-08 01:06:40.010000+01:00,General,Group 5,case-10067,2011-12-08 01:06:40+01:00,Internet,2011-11-16 10:31:30.572000+01:00
66,EMPTY,task-43788,Resource20,Confirmation of receipt,2011-10-20 12:39:37.946000+02:00,complete,2011-10-14 01:06:40.020000+02:00,Resource06,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10068,2011-12-09 01:06:40+01:00,Internet,2011-10-24 11:39:09.003000+02:00
67,Group 4,task-43991,Resource20,T02 Check confirmation of receipt,2011-10-20 12:40:07.912000+02:00,complete,2011-10-14 01:06:40.020000+02:00,Resource06,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10068,2011-12-09 01:06:40+01:00,Internet,2011-10-24 11:39:09.003000+02:00
68,Group 3,task-43993,Resource20,T04 Determine confirmation of receipt,2011-10-20 12:40:31.903000+02:00,complete,2011-10-14 01:06:40.020000+02:00,Resource06,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10068,2011-12-09 01:06:40+01:00,Internet,2011-10-24 11:39:09.003000+02:00
69,Group 2,task-43994,Resource20,T05 Print and send confirmation of receipt,2011-10-20 12:41:02.031000+02:00,complete,2011-10-14 01:06:40.020000+02:00,Resource06,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10068,2011-12-09 01:06:40+01:00,Internet,2011-10-24 11:39:09.003000+02:00
70,Group 1,task-43992,Resource20,T06 Determine necessity of stop advice,2011-10-20 12:41:28.600000+02:00,complete,2011-10-14 01:06:40.020000+02:00,Resource06,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10068,2011-12-09 01:06:40+01:00,Internet,2011-10-24 11:39:09.003000+02:00
71,Group 1,task-43995,Resource20,T10 Determine necessity to stop indication,2011-10-20 12:42:01.990000+02:00,complete,2011-10-14 01:06:40.020000+02:00,Resource06,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10068,2011-12-09 01:06:40+01:00,Internet,2011-10-24 11:39:09.003000+02:00
72,EMPTY,task-43792,Resource08,Confirmation of receipt,2011-11-07 15:10:10.205000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource08,2012-01-05 00:00:00.010000+01:00,General,Group 5,case-10069,2012-01-05 00:00:00+01:00,Internet,2011-12-30 15:41:42.684000+01:00
73,EMPTY,task-45608,Resource08,T02 Check confirmation of receipt,2011-11-07 15:11:51.689000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource08,2012-01-05 00:00:00.010000+01:00,General,Group 5,case-10069,2012-01-05 00:00:00+01:00,Internet,2011-12-30 15:41:42.684000+01:00
74,EMPTY,task-45610,Resource08,T04 Determine confirmation of receipt,2011-11-07 15:12:53.254000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource08,2012-01-05 00:00:00.010000+01:00,General,Group 5,case-10069,2012-01-05 00:00:00+01:00,Internet,2011-12-30 15:41:42.684000+01:00
75,EMPTY,task-45611,Resource08,T05 Print and send confirmation of receipt,2011-11-07 15:13:17.976000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource08,2012-01-05 00:00:00.010000+01:00,General,Group 5,case-10069,2012-01-05 00:00:00+01:00,Internet,2011-12-30 15:41:42.684000+01:00
76,Group 1,task-45609,Resource08,T06 Determine necessity of stop advice,2011-11-07 15:14:49.848000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource08,2012-01-05 00:00:00.010000+01:00,General,Group 5,case-10069,2012-01-05 00:00:00+01:00,Internet,2011-12-30 15:41:42.684000+01:00
77,Group 1,task-45612,Resource08,T10 Determine necessity to stop indication,2011-11-07 15:16:47.427000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource08,2012-01-05 00:00:00.010000+01:00,General,Group 5,case-10069,2012-01-05 00:00:00+01:00,Internet,2011-12-30 15:41:42.684000+01:00
78,EMPTY,task-43793,Resource13,Confirmation of receipt,2011-11-09 19:43:25.050000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource13,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10070,2011-12-09 01:06:40+01:00,Internet,2011-11-18 09:47:22.105000+01:00
79,Group 1,task-46107,Resource13,T06 Determine necessity of stop advice,2011-11-09 19:43:50.463000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource13,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10070,2011-12-09 01:06:40+01:00,Internet,2011-11-18 09:47:22.105000+01:00
80,EMPTY,task-46106,Resource13,T02 Check confirmation of receipt,2011-11-09 19:44:27.071000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource13,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10070,2011-12-09 01:06:40+01:00,Internet,2011-11-18 09:47:22.105000+01:00
81,EMPTY,task-46109,Resource13,T04 Determine confirmation of receipt,2011-11-09 19:44:58.894000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource13,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10070,2011-12-09 01:06:40+01:00,Internet,2011-11-18 09:47:22.105000+01:00
82,Group 1,task-46108,Resource13,T10 Determine necessity to stop indication,2011-11-09 19:45:21.385000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource13,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10070,2011-12-09 01:06:40+01:00,Internet,2011-11-18 09:47:22.105000+01:00
83,Group 2,task-46110,Resource13,T05 Print and send confirmation of receipt,2011-11-09 19:48:48.443000+01:00,complete,2011-10-14 01:06:40.020000+02:00,Resource13,2011-12-09 01:06:40.010000+01:00,General,Group 5,case-10070,2011-12-09 01:06:40+01:00,Internet,2011-11-18 09:47:22.105000+01:00
84,Group 1,task-43844,Resource21,Confirmation of receipt,2011-10-19 09:56:55.204000+02:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
85,Group 4,task-43846,Resource21,T02 Check confirmation of receipt,2011-10-19 09:57:39.722000+02:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
86,Group 3,task-43848,Resource21,T04 Determine confirmation of receipt,2011-10-19 09:58:15.323000+02:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
87,Group 2,task-43849,Resource21,T05 Print and send confirmation of receipt,2011-10-19 09:58:36.018000+02:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
88,Group 1,task-43847,Resource21,T06 Determine necessity of stop advice,2011-10-19 09:58:54.326000+02:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
89,Group 1,task-43850,Resource21,T10 Determine necessity to stop indication,2011-10-20 14:06:59.060000+02:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
90,Group 1,task-44022,Resource21,T11 Create document X request unlicensed,2012-01-18 09:48:33.680000+01:00,complete,2011-10-17 01:06:40.020000+02:00,Resource21,2011-12-12 01:06:40.010000+01:00,General,Group 2,case-10071,2011-12-12 01:06:40+01:00,Internet,2012-01-18 09:50:57.856000+01:00
